text/html,0.405
application/octet-stream,0.139
image/jpeg,0.107
application/json,0.075
image/webp,0.037
image/wxpc,0.033
text/plain,0.032
image/png,0.025
image/gif,0.025
application/x-javascript,0.018
text/xml,0.014
text/javascript,0.013
video/mp4,0.011
image/jpg,0.007
application/javascript,0.006
application/multipart-formdata,0.006
image/sharpp,0.006
audio/mpeg,0.004
audio/x-m4a,0.004
video/MP2T,0.004
text/json,0.003
text/css,0.003
application/zip,0.002
audio/mp4,0.002
application/ocsp-response,0.002
video/mp2t,0.002
application/x-apple-plist,0.001
application/xml,0.001
audio/MP2T,0.001
image/pjpeg,0.001